message,label
"Sprzedam marihuanę, 100 zł za gram","[narkotyki, cena]"
Tabletki na ból głowy,[nienarkotyki]
Nowa dostawa kokainy,"[narkotyki, dostawa]"
Najlepsza jakość amfetaminy,[narkotyki]
Potrzebuję leku na alergię,[nienarkotyki]
Cena marihuany spadła,"[narkotyki, cena]"
Dostawa prochów do domu,"[narkotyki, dostawa]"
Kupię nasiona konopi,[narkotyki]
Wysyłka leków za granicę,"[nienarkotyki, dostawa]"
Promocja na środki przeciwbólowe,"[nienarkotyki, cena]"
Jakie są ceny tabletek ecstasy?,"[narkotyki, cena]"
Dostawa marihuany w 24h,"[narkotyki, dostawa]"
Sprzedaż leków online,[nienarkotyki]
Oferta na medyczną marihuanę,[narkotyki]
Środki przeciwlękowe dostępne bez recepty,[nienarkotyki]
Nowa partia LSD już w sprzedaży,[narkotyki]
Sprzedam antybiotyki,[nienarkotyki]
Tanie leki przeciwbólowe,"[nienarkotyki, cena]"
Herbata z liści koki,[narkotyki]
Dostawa leków w nocy,"[nienarkotyki, dostawa]"
Zamówienie kokainy,"[narkotyki, dostawa]"
Zniżka na leki przeciwbólowe,"[nienarkotyki, cena]"
Marihuana za pół ceny,"[narkotyki, cena]"
Leki na przeziębienie,[nienarkotyki]
Cennik marihuany,"[narkotyki, cena]"
Szybka dostawa LSD,"[narkotyki, dostawa]"
Promocja na leki,"[nienarkotyki, cena]"
Zamówienie amfetaminy,"[narkotyki, dostawa]"
Cena kokainy,"[narkotyki, cena]"
Wysyłka marihuany,"[narkotyki, dostawa]"
Kup marihuanę online,[narkotyki]
Nowa dostawa heroiny,"[narkotyki, dostawa]"
Oferta na leki na receptę,[nienarkotyki]
Leki bez recepty,[nienarkotyki]
Ceny amfetaminy,"[narkotyki, cena]"
Tania marihuana,"[narkotyki, cena]"
Dostawa marihuany do domu,"[narkotyki, dostawa]"
Najlepsze leki na rynku,[nienarkotyki]
Wysokiej jakości marihuana,[narkotyki]
Środki uspokajające bez recepty,[nienarkotyki]
Dostawa marihuany w nocy,"[narkotyki, dostawa]"
Zamówienie ecstasy,"[narkotyki, dostawa]"
Leki przeciwbólowe na sprzedaż,[nienarkotyki]
Marihuana na sprzedaż,[narkotyki]
Cena heroiny,"[narkotyki, cena]"
Szybka dostawa kokainy,"[narkotyki, dostawa]"
Promocja na marihuanę,"[narkotyki, cena]"
Zamówienie marihuany online,"[narkotyki, dostawa]"
Oferta na tabletki na ból głowy,[nienarkotyki]
Wysyłka leków,"[nienarkotyki, dostawa]"
Najlepsze ceny marihuany,"[narkotyki, cena]"
Dostawa amfetaminy w 24h,"[narkotyki, dostawa]"
Zamówienie kokainy online,"[narkotyki, dostawa]"
Tanie tabletki przeciwbólowe,"[nienarkotyki, cena]"
Marihuana na wagę,"[narkotyki, cena]"
Cena tabletek ecstasy,"[narkotyki, cena]"
Wysyłka LSD,"[narkotyki, dostawa]"
Oferta na leki uspokajające,[nienarkotyki]
Promocja na antybiotyki,"[nienarkotyki, cena]"
Cena marihuany na rynku,"[narkotyki, cena]"
Dostawa kokainy do domu,"[narkotyki, dostawa]"
Najlepsze leki na alergię,[nienarkotyki]
Zamówienie LSD,"[narkotyki, dostawa]"
Cena nasion konopi,"[narkotyki, cena]"
Szybka wysyłka marihuany,"[narkotyki, dostawa]"
Promocja na środki uspokajające,"[nienarkotyki, cena]"
Leki bez recepty na sprzedaż,[nienarkotyki]
Cena amfetaminy,"[narkotyki, cena]"
Dostawa heroiny,"[narkotyki, dostawa]"
Wysyłka konopi,"[narkotyki, dostawa]"
Zamówienie leków,"[nienarkotyki, dostawa]"
Tanie środki przeciwbólowe,"[nienarkotyki, cena]"
Cena kokainy na rynku,"[narkotyki, cena]"
Promocja na leki na alergię,"[nienarkotyki, cena]"
Wysyłka tabletek ecstasy,"[narkotyki, dostawa]"
Najlepsza marihuana,[narkotyki]
Szybka dostawa amfetaminy,"[narkotyki, dostawa]"
Zamówienie leków przeciwbólowych,"[nienarkotyki, dostawa]"
Oferta na konopie,[narkotyki]
Cena tabletek na ból głowy,"[nienarkotyki, cena]"
Dostawa nasion konopi,"[narkotyki, dostawa]"
Najlepsze ceny kokainy,"[narkotyki, cena]"
Wysyłka amfetaminy,"[narkotyki, dostawa]"
Promocja na nasiona konopi,"[narkotyki, cena]"
Cena leków na receptę,"[nienarkotyki, cena]"
Dostawa leków na receptę,"[nienarkotyki, dostawa]"
Wysyłka marihuany w 24h,"[narkotyki, dostawa]"
Tanie konopie,"[narkotyki, cena]"
Zamówienie heroiny,"[narkotyki, dostawa]"
Cena LSD,"[narkotyki, cena]"
Wysyłka leków przeciwbólowych,"[nienarkotyki, dostawa]"
Najlepsze leki na ból głowy,[nienarkotyki]
Promocja na tabletki przeciwbólowe,"[nienarkotyki, cena]"
Cena marihuany w Polsce,"[narkotyki, cena]"
Dostawa ecstasy,"[narkotyki, dostawa]"
Wysyłka leków za granicę,"[nienarkotyki, dostawa]"
Tania marihuana na sprzedaż,"[narkotyki, cena]"